label,freq,load,speed,BPFI,BPFO,FTF,BSF,dominant_fault
normal,35,0,2090,0.010371891,0.007126691,0.009572494,0.009467902,BPFI
normal,35,0,2090,0.010517458,0.0072649517,0.009702073,0.009500432,BPFI
normal,35,0,2090,0.010416435,0.0075361785,0.010061088,0.009513892,BPFI
normal,35,0,2090,0.010554041,0.007508922,0.009479847,0.009674295,BPFI
normal,35,0,2090,0.010143985,0.00749998,0.009392844,0.0096109975,BPFI
normal,35,0,2090,0.009846224,0.0075056693,0.009329357,0.009424843,BPFI
normal,35,0,2090,0.01009674,0.0070588156,0.009130561,0.009183812,BPFI
normal,35,0,2090,0.010310926,0.007126721,0.009416587,0.009268022,BPFI
normal,35,0,2090,0.0101095745,0.0076399287,0.010059733,0.009849885,BPFI
normal,35,0,2090,0.009851905,0.0073360032,0.009898635,0.0095302295,FTF
normal,35,0,2090,0.009733824,0.007262784,0.010515411,0.009568954,FTF
normal,35,0,2090,0.010065475,0.0077730636,0.010710825,0.009949288,FTF
normal,35,0,2090,0.010313217,0.007447341,0.009774884,0.009734406,BPFI
normal,35,0,2090,0.01028165,0.007053638,0.009203863,0.00927226,BPFI
normal,35,0,2090,0.010192855,0.007140038,0.008881824,0.009093593,BPFI
normal,35,0,2090,0.010211843,0.0071636876,0.009125343,0.009149191,BPFI
normal,35,0,2090,0.010388089,0.0074091977,0.009218901,0.009274983,BPFI
normal,35,0,2090,0.0101074185,0.0071807853,0.008955225,0.0089614475,BPFI
normal,35,0,2090,0.009864842,0.0069461497,0.009190069,0.009203557,BPFI
normal,35,0,2090,0.0099596325,0.007056957,0.009718571,0.009295269,BPFI
normal,35,0,2090,0.010147945,0.0072584148,0.010183192,0.009679706,FTF
normal,35,0,2090,0.009942684,0.007435507,0.010362942,0.009624528,FTF
normal,35,0,2090,0.009858525,0.0073087784,0.009783012,0.0095259175,BPFI
normal,35,0,2090,0.010274998,0.007294982,0.009237461,0.009485735,BPFI
normal,35,0,2090,0.009876814,0.007231575,0.009057461,0.009433341,BPFI
normal,35,0,2090,0.010383977,0.007023382,0.008816745,0.009115946,BPFI
normal,35,0,2090,0.010115709,0.0070453263,0.008672563,0.00879877,BPFI
normal,35,0,2090,0.009932864,0.007038668,0.008973688,0.009042623,BPFI
normal,35,0,2090,0.009989714,0.0069971983,0.009242378,0.009176914,BPFI
normal,35,0,2090,0.010204329,0.007308386,0.009529358,0.009274785,BPFI
normal,35,0,2090,0.01005032,0.0071326387,0.009166555,0.009300066,BPFI
normal,35,0,2090,0.010090819,0.007013484,0.009229413,0.009342218,BPFI
normal,35,0,2090,0.010138631,0.0070128897,0.009426976,0.009106277,BPFI
normal,35,0,2090,0.0099939555,0.0070494576,0.009676866,0.009333531,BPFI
normal,35,0,2090,0.010238647,0.0073656077,0.009680314,0.009483988,BPFI
normal,35,0,2090,0.010375737,0.0075256345,0.009753593,0.009634586,BPFI
normal,35,0,2090,0.010319004,0.0073176594,0.009555959,0.009446486,BPFI
normal,35,0,2090,0.01051256,0.007387045,0.009293614,0.0094344495,BPFI
normal,35,0,2090,0.00978123,0.007443426,0.009325659,0.0092744,BPFI
normal,35,0,2090,0.010014426,0.0071647246,0.009400027,0.009289761,BPFI
