label,freq,load,speed,BPFI,BPFO,FTF,BSF,dominant_fault
normal,35,0,2090,0.010324827,0.0044481517,0.009587665,0.004906668,BPFI
normal,35,0,2090,0.0039994405,0.00321624,0.0058535435,0.0015213464,FTF
normal,35,0,2090,0.00340187,0.0020666851,0.0059405644,0.0016274365,FTF
normal,35,0,2090,0.0013786558,0.0014190967,0.002973779,0.0011477113,FTF
normal,35,0,2090,0.001652767,0.0020484994,0.013558239,0.00086875976,FTF
normal,35,0,2090,0.0059468895,0.0014715142,0.022175675,0.0009045724,FTF
normal,35,0,2090,0.003357308,0.0030904994,0.012165493,0.0016472698,FTF
normal,35,0,2090,0.005962249,0.005430566,0.0070180343,0.0056497017,FTF
normal,35,0,2090,0.0035100107,0.004195156,0.004175896,0.0030065223,BPFO
normal,35,0,2090,0.0041287183,0.0029228646,0.0030187522,0.001785434,BPFI
normal,35,0,2090,0.008111825,0.0029704648,0.0039718207,0.0031255877,BPFI
normal,35,0,2090,0.0034724684,0.0024555996,0.0033799158,0.001757814,BPFI
normal,35,0,2090,0.0016366687,0.0021167987,0.0021675685,0.0023450018,BSF
normal,35,0,2090,0.0029016268,0.0009563637,0.009024632,0.0014469023,FTF
normal,35,0,2090,0.0029635238,0.001731566,0.015158571,0.0015322326,FTF
normal,35,0,2090,0.0016813189,0.0052019428,0.007871645,0.0016884386,FTF
normal,35,0,2090,0.0019521742,0.0030280168,0.007258081,0.0029323744,FTF
normal,35,0,2090,0.0018336612,0.0040149167,0.011692109,0.0030588105,FTF
normal,35,0,2090,0.007914379,0.0034180256,0.0059103924,0.004174511,BPFI
normal,35,0,2090,0.016589224,0.0012505238,0.0018450032,0.0028694784,BPFI
normal,35,0,2090,0.0048949197,0.0014274083,0.003597734,0.0012511088,BPFI
normal,35,0,2090,0.0038658387,0.0058814273,0.010748254,0.0017916708,FTF
normal,35,0,2090,0.006466072,0.0027150768,0.012491588,0.0017078542,FTF
normal,35,0,2090,0.0014102756,0.0013487632,0.00986019,0.00090403133,FTF
normal,35,0,2090,0.004537824,0.0017839861,0.008460571,0.001548577,FTF
normal,35,0,2090,0.0010585004,0.0013083143,0.006444915,0.0013926515,FTF
normal,35,0,2090,0.0046812864,0.0025521722,0.007827985,0.000974983,FTF
normal,35,0,2090,0.012984682,0.003473352,0.0043504694,0.00088261545,BPFI
normal,35,0,2090,0.0042296774,0.0035029778,0.0016332882,0.0011226985,BPFI
normal,35,0,2090,0.0014223757,0.0035087508,0.0060460996,0.00093146326,FTF
normal,35,0,2090,0.0042917207,0.002173859,0.008525976,0.002482097,FTF
normal,35,0,2090,0.00052895467,0.00054035557,0.0013908368,0.0015603474,BSF
normal,35,0,2090,0.0011701211,0.0019911884,0.0014242433,0.00147365,BPFO
normal,35,0,2090,0.003313322,0.0022110702,0.005731596,0.00083045644,FTF
normal,35,0,2090,0.006084381,0.004198854,0.0040190974,0.001537068,BPFI
normal,35,0,2090,0.0024051738,0.0011547322,0.0024522594,0.002737405,BSF
normal,35,0,2090,0.002227624,0.0014227035,0.0066198763,0.004322167,FTF
normal,35,0,2090,0.008938738,0.0015348286,0.025590425,0.0026376788,FTF
normal,35,0,2090,0.010983953,0.00082961394,0.014337608,0.0013100895,FTF
normal,35,0,2090,0.0015317606,0.000535688,0.0028915564,0.0015341127,FTF
normal,35,0,2090,0.0010299927,0.003975396,0.0011672451,0.0029146543,BPFO
normal,35,0,2090,0.0021626528,0.0048731114,0.0015176398,0.0016203581,BPFO
normal,35,0,2090,0.0011812284,0.0023022282,0.0040813377,0.0044863187,BSF
normal,35,0,2090,0.0016163612,0.0022006317,0.008387665,0.0052310624,FTF
normal,35,0,2090,0.0029917096,0.0015845479,0.0028246515,0.006924083,BSF
normal,35,0,2090,0.0020407287,0.0023318313,0.0046145692,0.0019595907,FTF
normal,35,0,2090,0.0024472876,0.00091652566,0.005168259,0.00087885815,FTF
normal,35,0,2090,0.016853219,0.0013679455,0.0015643726,0.0026107924,BPFI
normal,35,0,2090,0.0053416756,0.0034829925,0.0018252475,0.003439452,BPFI
normal,35,0,2090,0.0010386277,0.0032000034,0.0032751756,0.0015101621,FTF
normal,35,0,2090,0.001993084,0.0009030046,0.004523936,0.0022862712,FTF
normal,35,0,2090,0.0036101388,0.0025532509,0.01098867,0.004423484,FTF
normal,35,0,2090,0.004345071,0.0058249487,0.010003137,0.0010469266,FTF
normal,35,0,2090,0.0038927535,0.0032861542,0.0037737726,0.0019926913,BPFI
normal,35,0,2090,0.0018992588,0.0040513547,0.0028358651,0.0028978158,BPFO
normal,35,0,2090,0.005254686,0.0058973185,0.0069695706,0.008692771,BSF
normal,35,0,2090,0.0022604153,0.0025258195,0.0022641304,0.00406028,BSF
normal,35,0,2090,0.0022827173,0.0028589163,0.0018327431,0.0012653422,BPFO
normal,35,0,2090,0.0043540676,0.0032269845,0.013717354,0.002123804,FTF
normal,35,0,2090,0.005557656,0.004089528,0.028693605,0.0018703899,FTF
normal,35,0,2090,0.0009758113,0.00074859866,0.003101441,0.0007172564,FTF
normal,35,0,2090,0.0015968342,0.001110562,0.0033656906,0.00064446306,FTF
normal,35,0,2090,0.0015941695,0.0039570164,0.002218576,0.00072476466,BPFO
normal,35,0,2090,0.0012248656,0.00140645,0.0026083523,0.0008424534,FTF
normal,35,0,2090,0.001018189,0.0007428594,0.012421283,0.00067172694,FTF
normal,35,0,2090,0.0019709338,0.001954676,0.008357868,0.0010199092,FTF
normal,35,0,2090,0.003948725,0.0012390434,0.0018411387,0.0024366907,BPFI
normal,35,0,2090,0.0016580047,0.001069788,0.0037750034,0.002696905,FTF
normal,35,0,2090,0.0017366633,0.0014563084,0.0051978054,0.002535248,FTF
normal,35,0,2090,0.003129595,0.0010766602,0.010524742,0.0006723225,FTF
normal,35,0,2090,0.0040157847,0.001005896,0.010620528,0.000681699,FTF
normal,35,0,2090,0.0005485645,0.0017249344,0.004362613,0.00060488126,FTF
normal,35,0,2090,0.0012482484,0.0023560745,0.0009745384,0.001829716,BPFO
normal,35,0,2090,0.0015623113,0.0011108872,0.0032596653,0.0011568755,FTF
