,speed,label,position,diameter,BPFI,BPFO,FTF,BSF,dominant_fault
0,1797.0,OR,3,7,0.0032393243,0.0013042854,0.0030919977,0.0030622778,BPFI
1,1797.0,OR,3,7,0.0030168502,0.0016905142,0.002750903,0.0021995693,BPFI
2,1797.0,OR,3,7,0.0030760416,0.0013317339,0.0029048352,0.002668945,BPFI
3,1797.0,OR,3,7,0.003938264,0.0014297434,0.0026549413,0.0027786698,BPFI
4,1797.0,B,,14,0.0065634926,0.001251004,0.047589492,0.008118891,FTF
5,1797.0,B,,14,0.010230141,0.000654257,0.074558906,0.007441752,FTF
6,1797.0,B,,14,0.013661988,0.0004658182,0.06549837,0.007674594,FTF
7,1797.0,B,,14,0.0025089865,0.00049710285,0.010409364,0.0016371504,FTF
8,1797.0,B,,14,0.016000096,0.00030879775,0.06002014,0.008068569,FTF
9,1797.0,B,3,14,0.015734935,0.00031825082,0.059117306,0.008366948,FTF
10,1797.0,OR,3,14,0.0034394963,0.008247258,0.020525746,0.0040568584,FTF
11,1797.0,OR,3,14,0.0023786314,0.0061628795,0.025994938,0.006130938,FTF
12,1797.0,OR,3,14,0.0026265583,0.007296745,0.02337307,0.003751962,FTF
13,1797.0,OR,,14,0.007340385,0.007001384,0.020882782,0.0042945747,FTF
14,1797.0,OR,3,14,0.0063280645,0.0069517414,0.023076206,0.0038120227,FTF
15,1797.0,B,,21,0.0025046405,0.0014214547,0.0029227424,0.0029300326,BSF
16,1797.0,B,,21,0.0044598207,0.0005814064,0.03180343,0.0022588659,FTF
17,1797.0,B,,21,0.0048670005,0.0008144111,0.027821895,0.0021480648,FTF
18,1797.0,B,,21,0.00612472,0.0008850289,0.002136602,0.0024262373,BPFI
19,1797.0,B,6,21,0.0063620997,0.00068474334,0.0021585105,0.002486775,BPFI
20,1797.0,OR,6,21,0.0023237616,0.0073513347,0.0017780055,0.0006131712,BPFO
21,1797.0,OR,6,21,0.0016037418,0.0054378747,0.0010263271,0.00083540514,BPFO
22,1797.0,OR,6,21,0.002235203,0.0060268827,0.00092058326,0.0010605562,BPFO
23,1797.0,OR,,21,0.002887138,0.006539388,0.00085488305,0.0010441222,BPFO
24,1797.0,OR,6,21,0.0015133104,0.006413306,0.000981681,0.0010468836,BPFO
25,1797.0,B,,7,0.0025008915,0.00093141745,0.0024948507,0.001236625,BPFI
26,1797.0,B,,7,0.0033333695,0.0005468127,0.0042335102,0.002474609,FTF
27,1797.0,B,,7,0.0026019514,0.0006056141,0.0018598225,0.0021638873,BPFI
28,1797.0,B,,7,0.0019288508,0.00054977235,0.0027607828,0.0007593299,FTF
29,1797.0,IR,,21,0.013683939,0.001507287,0.0011612797,0.004817207,BPFI
30,1797.0,IR,,21,0.02817991,0.0011221938,0.00069824443,0.0085558,BPFI
31,1797.0,IR,,21,0.01389945,0.0011589691,0.0006868485,0.0056684697,BPFI
32,1797.0,IR,,21,0.014687281,0.0011227467,0.0010630025,0.006072947,BPFI
33,1797.0,Normal,,,0.0029636247,0.0009070448,0.0019946399,0.0013789403,BPFI
34,1797.0,Normal,,,0.0035343927,0.0009537382,0.002630705,0.0019403821,BPFI
35,1797.0,Normal,,,0.003144049,0.0009738462,0.0018833604,0.0024026576,BPFI
36,1797.0,Normal,,,0.0033605685,0.0008242503,0.002157101,0.0020310825,BPFI
37,1797.0,Normal,,,0.0034372068,0.0009717914,0.0019751275,0.002660771,BPFI
38,1797.0,Normal,,,0.003504001,0.0010879976,0.002203098,0.0020424912,BPFI
39,1797.0,Normal,,,0.003847913,0.0010015956,0.0020137602,0.0018219813,BPFI
40,1797.0,Normal,,,0.00392788,0.00070401176,0.0021654102,0.002275617,BPFI
41,1797.0,Normal,6,,0.004055273,0.0007847767,0.0022495638,0.0022319101,BPFI
42,1797.0,OR,6,7,0.0063745193,0.0057987757,0.0032987772,0.0025814243,BPFI
43,1797.0,OR,6,7,0.0085365735,0.0034364692,0.0029921578,0.0036788315,BPFI
44,1797.0,OR,6,7,0.00585507,0.0033157344,0.0031054541,0.0012182536,BPFI
45,1797.0,OR,,7,0.008636989,0.0044279336,0.004574758,0.0035064782,BPFI
46,1797.0,OR,6,7,0.010051677,0.0043813772,0.0035307289,0.003984709,BPFI
47,1797.0,IR,,14,0.0021200697,0.00040222125,0.0008273805,0.00047468956,BPFI
48,1797.0,IR,,14,0.0022886428,0.00033979022,0.0005519249,0.00078972324,BPFI
49,1797.0,IR,,14,0.0013089677,0.00028744145,0.000649835,0.0005768991,BPFI
50,1797.0,IR,,14,0.0019600086,0.00020422561,0.00068075774,0.00059220253,BPFI
51,1797.0,IR,6,14,0.0024267023,0.00018472045,0.0006916899,0.00050283346,BPFI
52,1797.0,OR,6,14,0.002050524,0.0050767655,0.0017855994,0.0022248025,BPFO
53,1797.0,OR,6,14,0.002098695,0.0065803183,0.0039461646,0.0029194928,BPFO
54,1797.0,OR,6,14,0.0033845005,0.008400435,0.0050315084,0.003012129,BPFO
55,1797.0,OR,6,14,0.002013749,0.0075377664,0.0035807146,0.0035172058,BPFO
56,1797.0,OR,12,14,0.0016697836,0.007631142,0.0035269936,0.00275319,BPFO
57,1797.0,OR,12,7,0.0018694217,0.0008502806,0.0020720595,0.0025131197,BSF
58,1797.0,OR,12,7,0.0051110447,0.0015591228,0.0021111297,0.0025524083,BPFI
59,1797.0,OR,12,7,0.0049206303,0.0011046208,0.002895705,0.005011491,BSF
60,1797.0,OR,,7,0.0027143585,0.0007823075,0.0015267959,0.0028768713,BSF
61,1797.0,OR,12,7,0.0026806383,0.0007477593,0.0013739205,0.0029726156,BSF
62,1797.0,IR,,7,0.004052678,0.00020077088,0.0011414667,0.00062007376,BPFI
63,1797.0,IR,,7,0.003604569,0.00017992819,0.0023699207,0.0005372617,BPFI
64,1797.0,IR,,7,0.003878538,0.00026127385,0.0010427345,0.00044074174,BPFI
65,1797.0,IR,,7,0.0031893966,0.00032890748,0.0012320329,0.00036362468,BPFI
66,1730.0,B,,14,0.007102631,0.0026964808,0.11048374,0.009334456,FTF
67,1730.0,B,,14,0.017120635,0.0011756987,0.1221104,0.0148086045,FTF
68,1730.0,B,,14,0.003424274,0.0012274017,0.072764136,0.010036973,FTF
69,1730.0,B,,14,0.006284288,0.0013475075,0.09849413,0.008709185,FTF
70,1730.0,B,3,14,0.004843913,0.0009329393,0.09504814,0.008294829,FTF
71,1730.0,OR,3,7,0.0023897865,0.0016757931,0.0028860231,0.0024366283,FTF
72,1730.0,OR,3,7,0.0019800956,0.001676389,0.002475874,0.0032088547,BSF
73,1730.0,OR,3,7,0.0018495913,0.0020701038,0.002292756,0.0027901968,BSF
74,1730.0,OR,3,7,0.0021490003,0.0017856815,0.002640104,0.0030162309,BSF
75,1730.0,OR,3,14,0.0016036144,0.030869812,0.030992722,0.006460665,FTF
76,1730.0,OR,3,14,0.00249318,0.028940175,0.03750147,0.0069063026,FTF
77,1730.0,OR,3,14,0.0016943594,0.031683818,0.03183421,0.00653082,FTF
78,1730.0,OR,3,14,0.0017475212,0.035041854,0.03275064,0.007106531,BPFO
79,1730.0,OR,3,21,0.001558882,0.0026715717,0.0012288457,0.0013469483,BPFO
80,1730.0,OR,3,21,0.0011829486,0.0043086833,0.0015251822,0.0022980883,BPFO
81,1730.0,OR,3,21,0.00093529886,0.004946807,0.0012401653,0.0020161404,BPFO
82,1730.0,OR,,21,0.0010182973,0.0031051552,0.0011015211,0.0012043943,BPFO
83,1730.0,OR,3,21,0.0017876467,0.003115394,0.001335415,0.0009311499,BPFO
84,1730.0,IR,,7,0.010399102,0.0004991568,0.0011362879,0.0007850155,BPFI
85,1730.0,IR,,7,0.009919776,0.00039658448,0.0008901815,0.00046374224,BPFI
86,1730.0,IR,,7,0.009027503,0.0002838843,0.0014552113,0.0008778745,BPFI
87,1730.0,IR,,7,0.010152511,0.00029164896,0.0013211167,0.000622524,BPFI
88,1730.0,Normal,,,0.0018145274,0.0016781106,0.002888419,0.0024602152,FTF
89,1730.0,Normal,,,0.002166361,0.0017165357,0.0028070668,0.0040166266,BSF
